,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Miracema,24,BR,1547351053,89,-21.41,-42.2,72.09,6.06
1,Saskylakh,0,RU,1547351053,0,71.97,114.09,-55.9,4.27
2,Labytnangi,76,RU,1547351053,76,66.66,66.39,5.04,13.6
3,Vardo,90,US,1547349600,95,39.62,-77.74,30.2,3.36
4,Gushikawa,90,JP,1547348400,53,26.35,127.87,71.6,12.75
5,Khatanga,64,RU,1547351061,49,71.98,102.47,-29.53,7.11
6,Upernavik,32,GL,1547350982,100,72.79,-56.15,-5.77,9.35
7,Hermon,88,GB,1547347800,93,51.96,-4.61,50.0,19.46
8,Shangrao,56,CN,1547351062,91,28.45,117.97,48.51,3.38
9,Qaanaaq,0,GL,1547351062,66,77.48,-69.36,-22.87,10.92
10,Tuktoyaktuk,20,CA,1547348400,66,69.44,-133.03,-31.01,10.29
11,Fukuma,75,JP,1547348400,71,33.77,130.47,53.6,6.93
12,Toyo,36,PH,1547351062,93,10.73,125.02,79.65,6.33
13,Kutum,0,SD,1547351068,69,14.2,24.66,47.7,1.52
14,Busselton,0,AU,1547350979,86,-33.64,115.35,72.36,18.07
15,Wanning,75,AT,1547349600,96,48.64,13.53,33.8,8.05
16,Barrow,88,AR,1547350710,97,-38.31,-60.23,63.54,10.13
17,Grindavik,20,IS,1547350200,80,63.84,-22.43,33.8,16.11
18,Karachi,12,PK,1547346300,58,24.87,67.03,57.2,10.29
19,Bacolod,64,PH,1547351080,81,10.68,122.95,80.37,10.36
20,Hobart,0,AU,1547348400,28,-42.88,147.33,71.6,14.99
21,Stolac,20,BA,1547348400,74,43.08,17.95,41.0,3.36
22,Yellowknife,5,CA,1547348400,75,62.45,-114.38,-14.81,8.05
23,Mataura,76,NZ,1547350970,86,-46.19,168.86,59.49,8.75
24,Lusambo,92,CD,1547351081,100,-4.97,23.44,68.85,2.82
25,Palimbang,75,PH,1547348400,61,14.9,120.78,89.6,4.7
26,Gainesville,75,US,1547349300,82,29.65,-82.33,64.04,5.82
27,Butaritari,56,KI,1547351054,100,3.07,172.79,82.98,7.56
28,Vaini,0,IN,1547348400,56,15.34,74.49,71.6,6.93
29,Severo-Kurilsk,80,RU,1547351082,95,50.68,156.12,33.3,17.36
30,Ozinki,48,RU,1547351082,91,51.2,49.73,21.24,10.25
31,Carnarvon,0,ZA,1547351092,94,-30.97,22.13,50.31,6.22
32,Bolshaya Glushitsa,76,RU,1547351092,86,50.24,43.59,14.85,9.31
33,Port Alfred,32,ZA,1547351095,92,-33.59,26.89,67.41,7.74
34,Silopi,92,IQ,1547351095,71,37.25,42.47,32.04,5.06
35,Paita,20,PE,1547351096,75,-5.09,-81.11,74.34,9.8
36,Yulara,0,AU,1547348400,8,-25.24,130.99,109.4,13.87
37,Thompson,90,CA,1547348400,85,55.74,-97.86,14.0,9.17
38,Dunedin,64,NZ,1547351100,94,-45.87,170.5,59.76,4.72
39,Sao Jose da Coroa Grande,92,BR,1547351100,100,-8.9,-35.15,73.89,5.1
40,Rikitea,80,PF,1547350981,99,-23.12,-134.97,79.29,13.6
41,Tura,0,IN,1547351100,77,25.52,90.21,61.02,3.49
42,Mbala,80,ZM,1547351101,97,-8.85,31.37,60.66,2.75
43,Punta Arenas,75,CL,1547348400,65,-53.16,-70.91,46.4,29.97
44,Jamestown,0,AU,1547351102,25,-33.21,138.6,89.46,9.24
45,Hermanus,32,ZA,1547350977,81,-34.42,19.24,57.69,9.42
